주차장,주소,유형(유료/무료/민영),경도,위도,시군구,법정동,면수
용두암 주차장,제주시 용담이동 483,유료,261955,103108,제주시,용담이동,62
공항입구주차장,제주시 용담이동 1611,유료,260392,101927,제주시,용담이동,379
탐동제2주차장,제주시 삼도이동 1257,유료,262692,103462,제주시,삼도이동,107
칠성골,제주시 삼도이동 1192-8,유료,263186,103254,제주시,삼도이동,80
고산동산주차장,제주시 이도이동 1012-10,유료,263733,100934,제주시,이도이동,51
신제주공영주차장,제주시 연동 272-31,유료,260011,100254,제주시,연동,242
인제주차장,제주시 일도이동 409-11,유료,264724,101937,제주시,일도이동,125
제일주차빌딩,제주시 일도일동 1476-33,유료,263316,102923,제주시,일도일동,92
법원 북측,제주시 이도이동 1066,유료,264093,100825,제주시,이도이동,91
동문재래시장,제주시 이도일동 1330-5,유료,263261,102624,제주시,이도일동,38
성신로,제주시 연동 2322-7,유료,259507,100483,제주시,연동,55
칠성상가제1,제주시 일도일동 1476-1,유료,263293,102988,제주시,일도일동,16
광양초 서측 주차장,제주시 이도일동 1257-4,유료,263508,101691,제주시,이도일동,45
칠성상가제2,제주시 일도일동 1401-13,유료,263048,102975,제주시,일도일동,14
이도2동주민센터 앞,제주시 이도이동 1052-2,유료,264061,101055,제주시,이도이동,150
동문버스주차,제주시 일도일동 1104,유료,263496,102757,제주시,일도일동,12
동문주차빌딩,제주시 일도일동 1103,유료,263459,102773,제주시,일도일동,219
관덕정서측,제주시 삼도이동 1024,유료,262762,102925,제주시,삼도이동,36
탑동제1주차장,제주시 삼도이동 1263,유료,263093,103340,제주시,삼도이동,66
노형 제1,제주시 노형동 1282-1,유료,258727,99976,제주시,노형동,64
노형 제2,제주시 노형동 1290-3,유료,258924,100076,제주시,노형동,43
노형 제3,제주시 노형동 1043-1,유료,258619,100335,제주시,노형동,45
노형동주민센터 서측,제주시 노형동 3793,유료,258641,99635,제주시,노형동,57
북수구,제주시 일도일동 1226,유료,263420,103026,제주시,일도일동,51
산짓물,제주시 건입동 1334,유료,263509,103177,제주시,건입동,71
칠억조전용 주차장,제주시 노형동 1289-6,민영,258906,100030,제주시,노형동,16
노드주차장,제주시 노형동 733,민영,259589,99398,제주시,노형동,16
런던빌딩부설유료주차장,제주시 노형동 1047-1,민영,258908,100536,제주시,노형동,36
노형로터리 주차장,제주시 노형동 1288-3,민영,258786,99962,제주시,노형동,24
정은유료주차장,제주시 노형동 916-1,민영,259468,100021,제주시,노형동,30
마농제주본점,제주시 노형동 1287-3,민영,258741,99879,제주시,노형동,12
제주시 노형동 신비의도로,제주시 노형동 291-2,민영,259544,95996,제주시,노형동,54
제민신협주차장,제주시 삼도2동 92,민영,262983,102829,제주시,삼도이동,36
이마트유니코주차장,제주시 삼도이동 1258,민영,262819,103483,제주시,삼도이동,250
진송주차장,제주시 삼도일동 519,민영,262485,101470,제주시,삼도일동,13
로얄주차장,제주시 연동 282-14,민영,260123,100237,제주시,연동,63
연동주차장,제주시 연동 263-11,민영,259836,99763,제주시,오라일동,28
ABC주차장,제주시 연동 271-17,민영,259970,100377,제주시,오라일동,20
터미널주차장,제주시 오라1동 2441-3,민영,262160,101400,제주시,오라일동,23
한영주차장,제주시 오라동 2440-12,민영,262078,101393,제주시,오라동,21
공항로주차장,제주시 용담2동 2617-1,민영,261588,101598,제주시,용담이동,20
천일유료주차장,제주시 이도2동 1773-10,민영,263444,101435,제주시,이도이동,20
탐라탕,제주시 이도2동 86-9,민영,265424,100578,제주시,이도이동,13
제주벤처마루부설유료주차장,제주시 이도2동 1176-67,민영,263618,101450,제주시,이도이동,108
한일주차장,제주시 이도1동 1421-19,민영,263154,102626,제주시,이도일동,26
남문주차장,제주시 이도1동 1494-1,민영,263024,102567,제주시,이도일동,16
서울주차장,제주시 이도1동 1382-1,민영,263040,102782,제주시,이도일동,10
동문시장주차장,제주시 이도1동 1348-1,민영,263159,102749,제주시,이도일동,25
남강주차장,제주시 이도1동 1289-28,민영,263371,101845,제주시,이도일동,55
중앙주차장,제주시 이도1동 1362-1,민영,263171,102832,제주시,이도일동,96
맘모스주차장,제주시 이도1동 1421-2,민영,263157,102659,제주시,이도일동,60
꽃늘봄주차장,제주시 이도1동 1487-1,민영,263007,102659,제주시,이도일동,13
킹마트주차장,제주시 일도2동 982-1,민영,264220,102919,제주시,일도이동,38
형주주차장,제주시 일도1동 1219-3,민영,263380,103050,제주시,일도일동,13
탑동주차장,제주시 일도1동 1280-13,민영,263093,103088,제주시,일도일동,10
한양유료주차장,제주시 일도1동 1131,민영,263544,102815,제주시,일도일동,36
은아주차장,제주시 일도1동 1280-14,민영,263156,103048,제주시,일도일동,8
동신유료주차장,제주시 일도1동 1251,민영,263448,103077,제주시,일도일동,15
봄이네국수,제주시 삼도2동 925-1,민영,262852,102684,제주시,삼도이동,15
CGV주차장,제주시 이도2동 1779-2,민영,263358,101371,제주시,이도이동,29
황금어장주차장,제주시 연동 294-76,민영,260372,99670,제주시,연동,19
연동2424-10일원 노외주차장,제주시 연동 2424-10,민영,259293,100709,제주시,연동,29
연동 빕스 옆,"제주시 연동 280-1,73",민영,260077,100733,제주시,연동,25
공항뒷편 주차장,제주시 도두동 391-4,민영,259870,101739,제주시,도두동,66
㈜호텔신라,제주시 연동 262-35,민영,259693,99966,제주시,연동,12
연동 291-14번지,"	제주시 연동 291-14",민영,260328,100407,제주시,연동,14
도두동 마트클럽 앞,제주시 도두동 2510,민영,257720,101808,제주시,도두동,40
용담3동 995-1,제주시 용담2동 995-1,민영,260768,103055,제주시,용담이동,20
산호사주차장,제주시 연평리 2565,민영,,,제주시,연평리,38
개발행위(노외주차장설치신고),제주시 조천리 1097,민영,,,제주시,조천리,73
개발행위(노외주차장설치신고),제주시 고내리 77-1,민영,,,제주시,고내리,8
개발행위(노외주차장설치신고),제주시 연동 271-33,민영,259937,100406,제주시,연동,11
개발행위(노외주차장설치신고),제주시 이도2동 260-6,민영,265241,100988,제주시,이도이동,46
개발행위(노외주차장설치신고),제주시 조천리 2187,민영,,,제주시,조천리,6
개발행위(노외주차장설치신고),제주시 이호1동 1614-5,민영,256831,101280,제주시,이호일동,19
개발행위(노외주차장설치신고),제주시 한림리 1554,민영,,,제주시,한림리,25
개발행위(노외주차장설치신고),제주시 북촌리 1878-2,민영,,,제주시,북촌리,36
개발행위(노외주차장설치신고),제주시 오라3동 2234,민영,261661,101305,제주시,오라삼동,58
개발행위(노외주차장설치신고),제주시 노형동 698-1,민영,259225,98686,제주시,노형동,43
개발행위(노외주차장설치신고),제주시 삼양2동 1550-3,민영,269071,103775,제주시,삼양이동,26
개발행위(노외주차장설치신고),제주시 오라2동 961 외1,민영,262433,100124,제주시,오라이동,6
개발행위(노외주차장설치신고),제주시 건입동 46-7,민영,265690,101800,제주시,건입동,31
개발행위(노외주차장설치신고),제주시 아라2동 1476-4,민영,264865,99530,제주시,아라이동,28
개발행위(노외주차장설치신고),제주시 아라2동 1628-10,민영,265245,98875,제주시,아라이동,9
개발행위(노외주차장설치신고),제주시 연동 1411-6,민영,259951,98887,제주시,연동,16
개발행위(노외주차장설치신고),제주시 도평동 578-1,민영,256200,100323,제주시,도평동,4
개발행위(노외주차장설치신고),제주시 상귀리 785-2,민영,,,제주시,상귀리,21
개발행위(노외주차장설치신고),제주시 화북1동 4098-23,민영,266648,104014,제주시,화북일동,2
개발행위(노외주차장설치신고),제주시 한림리 608-5,민영,,,제주시,한림리,22
개발행위(노외주차장설치신고),제주시 월림리 275-7,민영,,,제주시,월림리,6
개발행위(노외주차장설치신고),제주시 용담2동 1526,민영,260706,101991,제주시,용담이동,27
개발행위(노외주차장설치신고),"제주시 상도리 583-1, 2",민영,,,제주시,상도리,4
개발행위(노외주차장설치신고),제주시 하귀1리 550,민영,,,제주시,하귀일리,28
개발행위(노외주차장설치신고),제주시 함덕리 2803-1,민영,,,제주시,함덕리,33
개발행위(노외주차장설치신고),제주시 와흘리 125-39,민영,,,제주시,와흘리,27
개발행위(노외주차장설치신고),제주시 도두동 2196-8,민영,257889,100986,제주시,도두동,53
개발행위(노외주차장설치신고),제주시 해안동 36-44,민영,258873,95211,제주시,해안동,42
개발행위(노외주차장설치신고),제주시 노형동 68,민영,259433,98571,제주시,노형동,189
삼성아파트 북측,제주시 이도일동 1555-25,무료,263342,102388,제주시,이도일동,10
봉개동 주민센터 앞,제주시 봉개동 1854-1,무료,269670,100276,제주시,봉개동,40
화북공단 인근,제주시 화북동 3645-4,무료,266500,102698,제주시,화북동,39
화북공단 인근,제주시 화북동 3645-6,무료,266485,102696,제주시,화북동,4
봉개동 주민센터 앞,제주시 봉개동 1853-1,무료,269684,100288,제주시,봉개동,56
도두동 주민센터 옆,제주시 도두동 1987-2,무료,257841,101805,제주시,도두동,50
건입동,제주시 건입동 1190-1,무료,263697,103080,제주시,건입동,10
제주시 농협 본점 뒤,제주시 일도이동 984-3,무료,264236,102761,제주시,일도이동,16
사라봉오거리 남동측,제주시 일도이동 132-14,무료,264474,102897,제주시,일도이동,8
백록담주유소 옆,제주시 건입동 709-4,무료,264464,102995,제주시,건입동,15
명도암 교차로 동측,제주시 봉개동 3262-3,무료,272359,95616,제주시,봉개동,31
현대아파트상가 앞,제주시 건입동 1042-7,무료,264127,103209,제주시,건입동,3
주민센터 우측,제주시 용담일동 244-1,무료,262093,102466,제주시,용담일동,9
사라봉오거리 북동측,제주시 건입동 709-2,무료,264497,103004,제주시,건입동,13
서사라사거리 북측,제주시 삼도일동 533-9,무료,262643,101583,제주시,삼도일동,8
용담1동 주민센터 옆,제주시 용담일동 244-1,무료,262093,102466,제주시,용담일동,7
사라봉 오거리 인근,제주시 건입동 709-2,무료,264497,103004,제주시,건입동,13
아스타 호텔 맞으편,제주시 삼도일동 533-9,무료,262643,101583,제주시,삼도일동,8
아라지구,제주시 아라동 6142-1,무료,265196,98214,제주시,아라동,41
아라지구,제주시 아라동 6159,무료,265501,98260,제주시,아라동,47
아라지구,제주시 아라동 6140-4,무료,265132,98107,제주시,아라동,77
아라지구,제주시 아라동 6068-9,무료,264778,98185,제주시,아라동,24
아라지구,제주시 아라동 6061,무료,264535,98094,제주시,아라동,19
아라지구,제주시 아라동 6064-4,무료,264745,98009,제주시,아라동,24
아라지구,제주시 아라동 6083-3,무료,264877,98296,제주시,아라동,48
아라지구,제주시 아라동 6075-6,무료,264889,98087,제주시,아라동,30
아라지구,제주시 아라동 6103-6,무료,264958,98769,제주시,아라동,37
상록회관 북측,제주시 이도일동 1292-10,무료,263304,101935,제주시,이도일동,20
아라지구,제주시 아라동 6051-4,무료,264555,98447,제주시,아라동,20
아라지구,제주시 아라동 6059,무료,264515,98276,제주시,아라동,19
아라지구,제주시 아라동 6096,무료,264860,98650,제주시,아라동,31
아라지구,제주시 아라동 6093-4,무료,264939,98478,제주시,아라동,35
아라지구,제주시 아라동 6106-3,무료,265105,98651,제주시,아라동,23
아라지구,제주시 아라동 6111,무료,265308,98779,제주시,아라동,43
아라지구,제주시 아라동 6114-5,무료,265296,98649,제주시,아라동,36
아라지구,제주시 아라동 6123,무료,265582,98486,제주시,아라동,34
아라지구,제주시 아라동 6128-4,무료,265398,98487,제주시,아라동,24
아라지구,제주시 아라동 6131,무료,265226,98372,제주시,아라동,36
동문성당 앞,제주시 일도이동 1029-99,무료,263678,102586,제주시,일도이동,7
황금정갈비 뒷편,제주시 일도이동 1020-1,무료,263893,102552,제주시,일도이동,7
그린주유소 뒷편,제주시 이도이동 1063-12,무료,264234,100988,제주시,이도이동,7
월성부락 내,제주시 용담이동 2745-10,무료,261215,101714,제주시,용담이동,32
주민센터 북동측,제주시 삼도일동 508-13,무료,262454,101905,제주시,삼도일동,36
노형2지구,제주시 노형동 3782,무료,258810,99728,제주시,노형동,64
노형2지구,제주시 노형동 3803-6,무료,258522,99441,제주시,노형동,53
노형2지구,제주시 노형동 3800-6,무료,258705,99312,제주시,노형동,65
노형2지구,제주시 노형동 3812-3,무료,258573,99142,제주시,노형동,49
아라지구,제주시 아라동 6046-5,무료,264552,98753,제주시,아라동,33
세종의원 서측,제주시 이도일동 1704-6,무료,263197,102225,제주시,이도일동,35
도남순복음교회 옆,제주시 이도이동 910-1,무료,264166,100563,제주시,이도이동,18
중앙병원 남서측,제주시 일도이동 1006-35,무료,263986,102777,제주시,일도이동,12
탐라중 북측,제주시 이도이동 9,무료,265612,101077,제주시,이도이동,79
세종의원 옆,제주시 이도일동 1696-9,무료,263283,102261,제주시,이도일동,23
한천초등 서남측,제주시 용담일동 262-13,무료,262013,102070,제주시,용담일동,11
우일아파트 옆,제주시 건입동 1277-2,무료,263901,103182,제주시,건입동,9
수은근린공원 서측,제주시 이도이동 375,무료,264367,101469,제주시,이도이동,25
동광천주교 동남측,제주시 일도이동 88-1,무료,265164,101376,제주시,일도이동,24
청소년문화의집 남측,제주시 화북동 1936-7,무료,266990,103949,제주시,화북동,23
공영주차장,제주시 일도이동 984-3,무료,264236,102761,제주시,일도이동,16
공영주차장,"제주시 화북동 3378-4,6",무료,266523,102303,제주시,화북동,35
6호광장,"제주시 일도이동 510,511",무료,264948,102699,제주시,일도이동,73
회성푸르니 뒷편,"제주시 오라동 1375-1,1376",무료,261956,100287,제주시,오라동,21
선관위 동쪽 뒷편,제주시 일도이동 107,무료,265127,101316,제주시,일도이동,9
민속자연사 박물관 맞은편,제주시 일도이동 1036-6,무료,263695,102244,제주시,일도이동,23
공영주차장,제주시 이도이동 916-10,무료,264166,100563,제주시,이도이동,8
명물식당 뒷편,"제주시 삼도이동 1167-6,7",무료,262439,103273,제주시,삼도이동,15
대림2차 서측,제주시 일도이동 112,무료,265415,101348,제주시,일도이동,47
용담이동주민센터 맞은편,제주시 용담이동 358-12,무료,261972,102730,제주시,용담이동,15
이도2지구,제주시 이도이동 1960-3,무료,265041,100722,제주시,이도이동,22
이도2지구,제주시 이도이동 1954-4,무료,265196,100760,제주시,이도이동,23
공영주차장,제주시 용담이동 2690-19,무료,261793,101973,제주시,용담이동,55
목성아파트 맞은편,제주시 삼도일동 500-14,무료,262341,101892,제주시,삼도일동,30
공영주차장,제주시 화북동 1933-8,무료,266869,103921,제주시,화북동,32
공영주차장,제주시 일도이동 1029-96,무료,263677,102544,제주시,일도이동,7
공영주차장,제주시 삼양동 2124-6,무료,268888,103858,제주시,삼양동,26
건입동,제주시 건입동 1077-47,무료,264042,103042,제주시,건입동,4
화북동,제주시 화북동 4266-12,무료,266809,104120,제주시,화북동,7
노형동,제주시 노형동 740-2,무료,259087,99172,제주시,노형동,46
이도2지구,제주시 이도이동 1982-15,무료,264563,100175,제주시,이도이동,20
이도2지구,제주시 이도이동 1982-1,무료,264765,100356,제주시,이도이동,17
이도2지구,제주시 이도이동 1982-3,무료,264783,100339,제주시,이도이동,23
이도2지구,제주시 아라동 3013-1,무료,264658,100617,제주시,아라동,15
이도2지구,제주시 아라동 3013-11,무료,264739,100511,제주시,아라동,17
이도2지구,제주시 아라동 3002-1,무료,264756,100686,제주시,아라동,24
이도2지구,제주시 아라동 3002-9,무료,264831,100589,제주시,아라동,24
이도2지구,제주시 이도이동 1968-5,무료,264732,100786,제주시,이도이동,29
무료이도2지구,제주시 아라동 3008-1,무료,264924,100471,제주시,아라동,23
이도2지구,제주시 이도이동 1945-6,무료,264978,100810,제주시,이도이동,22
도두매립 1주차장,제주시 도두동 2630,무료,257617,102176,제주시,도두동,34
도두매립 2주차장,제주시 도두동 2618-1,무료,257475,101977,제주시,도두동,29
오일시장 일대,제주시 도두동 1212 외,무료,258476,101121,제주시,도두동,625
버스회차지,제주시 삼양동 1579-1,무료,269420,103230,제주시,삼양동,57
비치조아 맞은편,제주시 삼양동 1598-2,무료,269019,104256,제주시,삼양동,40
삼부장미아파트 남측,제주시 삼양동 1628-7,무료,269271,104319,제주시,삼양동,52
해수사우나 동측,제주시 삼양동 1657-8,무료,268929,104111,제주시,삼양동,104
동명아파트 북측,제주시 삼양동 2133-5,무료,268709,103798,제주시,삼양동,75
한샘어린이집 맞은편,제주시 삼양동 2176-13,무료,268526,103537,제주시,삼양동,79
삼양농협 옆,제주시 삼양동 2135-10,무료,268734,103726,제주시,삼양동,25
한전아파트 동측,제주시 삼양동 1592-2,무료,269509,104477,제주시,삼양동,40
삼양해수욕장,제주시 삼양동 1569-41,무료,268944,104214,제주시,삼양동,120
용담 성화지구,제주시 용담이동 928-31,무료,261234,102812,제주시,용담이동,4
용담 성화지구,제주시 용담이동 928-89,무료,261241,102800,제주시,용담이동,4
용마복지회관남측,제주시 용담이동 519-12,무료,261858,103148,제주시,용담이동,12
어영마을회관 서측,제주시 용담이동 2396-1,무료,259772,102435,제주시,용담이동,10
서문파출소 서측,제주시 용담이동 2686-7,무료,261821,102080,제주시,용담이동,3
레포츠공원 주차장,제주시 용담이동 1071,무료,260768,103055,제주시,용담이동,130
삼도남문2,제주시 삼도이동 807-1,무료,262867,102394,제주시,삼도이동,4
삼도남문3,제주시 삼도이동 807-3,무료,262868,102380,제주시,삼도이동,4
삼도무근성1,제주시 삼도이동 1158-99,무료,262534,103117,제주시,삼도이동,2
삼도무근성2,제주시 삼도이동 1158-33,무료,262541,103136,제주시,삼도이동,3
삼성혈동측,제주시 이도일동 1285-1,무료,263629,101934,제주시,이도일동,71
삼성아파트앞,제주시 이도일동 1554-1,무료,263335,102374,제주시,이도일동,5
국일건재사앞,제주시 이도일동 1261-1,무료,263718,101979,제주시,이도일동,21
27번클린하우스뒤,제주시 이도일동 1348-1,무료,263159,102749,제주시,이도일동,7
성지주차장,제주시 이도일동 1502-2,무료,263300,102489,제주시,이도일동,16
세무서 동측,제주시 이도이동 1035-4,무료,263902,101066,제주시,이도이동,50
백록아파트 서측,제주시 이도이동 65-3,무료,265572,100685,제주시,이도이동,51
도남초등학교 동측,제주시 이도이동 57-3,무료,265645,100732,제주시,이도이동,27
이도주공남측,제주시 이도이동 1028-1,무료,264064,100483,제주시,이도이동,19
노동사무소 서측,제주시 이도이동 425,무료,264899,101307,제주시,이도이동,25
소나무집 동측,제주시 이도이동 1063-14,무료,264251,101002,제주시,이도이동,8
무료구남동,제주시 이도이동 1909-75,무료,263760,100206,제주시,이도이동,6
시민복지타운,제주시 이도이동 574-3,무료,264469,100737,제주시,이도이동,32
시민복지타운,제주시 이도이동 689-7,무료,264714,100092,제주시,이도이동,20
시민복지타운,제주시 이도이동 742-1,무료,263882,100100,제주시,이도이동,32
시민복지타운,제주시 이도이동 703-8,무료,264623,100101,제주시,이도이동,8
시민복지타운,제주시 이도이동 705-14,무료,264623,100101,제주시,이도이동,8
시민복지타운,제주시 이도이동 735-1,무료,263882,100100,제주시,이도이동,24
시민복지타운,제주시 이도이동 769-9,무료,264017,100380,제주시,이도이동,21
시민복지타운,제주시 이도이동 755-1,무료,263882,100100,제주시,이도이동,34
시민복지타운,제주시 이도이동 748-8,무료,263882,100100,제주시,이도이동,17
연동택지개발지구(대림APT동북측),제주시 연동 1458-2,무료,259932,99380,제주시,연동,26
서문시장2(용대1로10 부근),제주시 용담일동 292-10,무료,262263,102543,제주시,용담일동,5
서문시장3(서문시장서로3 부근),제주시 용담일동 295-40,무료,262325,102624,제주시,용담일동,8
서문시장6(용대3로15 부근),제주시 용담일동 220-16,무료,262332,102505,제주시,용담일동,5
연동공원 동측(씨티호텔 서쪽),제주시 연동 299-13,무료,260310,99582,제주시,연동,33
서문시장4(용대3로22 부근),제주시 용담일동 220-10,무료,262346,102486,제주시,용담일동,4
시민복지타운,제주시 이도이동 664-6,무료,264828,100186,제주시,이도이동,28
서문시장1(서문시장길147부근),제주시 용담일동 137-54,무료,262401,102592,제주시,용담일동,6
연동택지개발지구(대림APT서측),제주시 연동 1499,무료,259910,99102,제주시,연동,28
연동택지개발지구(대림APT서남측),제주시 연동 1517,무료,259887,99070,제주시,연동,28
연동택지개발지구(대림APT남측공원옆),제주시 연동 1519-2,무료,259788,98993,제주시,연동,40
신광초등학교서측,제주시 연동 1957-1,무료,259166,100547,제주시,연동,4
연동택지개발지구(대림APT동측),제주시 연동 1504,무료,259987,99241,제주시,연동,18
외도구획정리지구,"	제주시 외도동 417-6",무료,254300,100614,제주시,외도동,42
외도구획정리지구,제주시 외도동 440-7,무료,254970,100872,제주시,외도동,50
외도구획정리지구,제주시 외도동 448-3,무료,254509,100635,제주시,외도동,59
외도구획정리지구,제주시 외도동 453-1,무료,254670,100579,제주시,외도동,43
외도구획정리지구,제주시 외도동 482-1,무료,254934,100728,제주시,외도동,44
외도구획정리지구,제주시 외도동 493-1,무료,254152,100294,제주시,외도동,39
외도구획정리지구(외도복지회관북측),제주시 외도동 496-17,무료,254234,100223,제주시,외도동,31
외도구획정리지구(외도복지화관동측),제주시 외도동 497-16,무료,254263,100187,제주시,외도동,11
외도구획정리지구,제주시 외도동 530-4,무료,254620,100275,제주시,외도동,48
외도구획정리지구,제주시 외도동 542-18,무료,254217,100069,제주시,외도동,23
외도구획정리지구,제주시 외도동 559-1,무료,255443,100183,제주시,외도동,54
외도구획정리지구,제주시 외도동 632-7,무료,254165,99972,제주시,외도동,51
외도구획정리지구(외도동사무소앞),제주시 외도동 233-8,무료,254545,100771,제주시,외도동,19
연동택지개발지구 (뉴월드마트 동쪽),"	제주시 노형동 710-4",무료,259353,99521,제주시,노형동,45
연동택지개발지구(제주일고 동쪽),제주시 노형동 736,무료,258915,99140,제주시,노형동,33
연동택지개발지구(으뜸마을 서측공원옆),제주시 노형동 751,무료,258898,99027,제주시,노형동,36
남녕고 서측(남녕마트 앞),제주시 노형동 1293-2,무료,259164,100226,제주시,노형동,39
노형세기7차아파트 서측,"제주시 노형동 2512-1,2",무료,258139,99738,제주시,노형동,78
개인택시조합 앞,"제주시 노형동 2517-1,2",무료,258179,99554,제주시,노형동,107
제주물류 서측,제주시 노형동 2612-2,무료,258452,99881,제주시,노형동,92
노형초등학교 서측,제주시 노형동 2534-3,무료,258403,99676,제주시,노형동,74
정든마을북쪽,제주시 노형동 2575-1,무료,258310,100452,제주시,노형동,40
정든마을동쪽,제주시 노형동 2580-1,무료,258481,100267,제주시,노형동,46
탐라빌아파트서쪽,제주시 노형동 2589-1,무료,258014,99674,제주시,노형동,28
한라빌라 서측,제주시 노형동 2595-7,무료,258190,99477,제주시,노형동,32
삼오한마음APT북측,제주시 연동 2305-7,무료,259625,100739,제주시,연동,38
신광초등학교동측,제주시 연동 2303-11,무료,259460,100745,제주시,연동,7
일도택지개발지구(동광성당 서북측),제주시 일도이동 82-8,무료,265036,101391,제주시,일도이동,49
신산공원,제주시 일도이동 879,무료,264071,102066,제주시,일도이동,44
사라봉입구,"제주시 건입동 697-1,6",무료,264785,103116,제주시,건입동,70
건입 동자복지구(금산수원지남측),제주시 건입동 1189-1,무료,263737,103114,제주시,건입동,7
현대아파트상가 앞,"제주시 건입동 1042-2,1",무료,264139,103216,제주시,건입동,18
현사부락 물양장,제주시 이호동 1788-6,무료,256120,101256,제주시,이호동,35
이호해수욕장,제주시 이호동 1665-11,무료,256493,101155,제주시,이호동,750
화북소방서 북측,제주시 화북동 11-7,무료,256493,101155,제주시,화북동,47
동화초등교 남측,제주시 화북동 14-1,무료,267971,103345,제주시,화북동,15
공관어린이집 남측,제주시 연동 291-21,무료,260379,100430,제주시,연동,9
청소년수련실 북측,제주시 화북동 1619-7,무료,267018,104098,제주시,화북동,3
중앙병원 남측,제주시 일도이동 991-38,무료,264082,102837,제주시,일도이동,30
청풍대 옆,제주시 화북동 1936,무료,266940,103944,제주시,화북동,11
청풍대(삼부하우스 동측),제주시 화북동 1930-4,무료,266714,103846,제주시,화북동,18
화북떡집 서측,제주시 화북동 1951-5,무료,266918,103823,제주시,화북동,32
탐라사료 북측,제주시 화북동 2130-6,무료,266709,102939,제주시,화북동,46
제65호 어린이공원(수영장길),제주시 삼도일동 560-2,무료,262325,101355,제주시,삼도일동,50
서사라사거리 북측,제주시 삼도일동 533-10,무료,262643,101574,제주시,삼도일동,6
선사유적지,제주시 삼양동 1665-1,무료,269035,103114,제주시,삼양동,12
한라수목원,제주시 연동 1000,무료,259949,98080,제주시,연동,85
연동파출소,제주시 연동 302-4,무료,260512,100187,제주시,연동,6
신제주초등학교,제주시 연동 316,무료,260587,99564,제주시,연동,24
제주종합경기장,제주시 오라동 1163-4,무료,262305,101196,제주시,오라동,638
일도2동주민센터,제주시 일도이동 161,무료,264385,102700,제주시,일도이동,31
노형동주민센터,제주시 노형동 1423-1,무료,258796,100194,제주시,노형동,31
장미빌라 맞은편,"제주시 화북동 1984-1,2",무료,266844,103510,제주시,화북동,10
혜성아파트 동측,제주시 이도이동 429-7,무료,264756,101133,제주시,이도이동,25
절물자연휴양림,제주시 봉개동 산78-1,무료,272128,93560,제주시,봉개동,200
국제여객터미널,제주시 건입동 918-30,무료,264093,103587,제주시,건입동,100
탐라교육원,제주시 오라동 100,무료,262013,97628,제주시,오라동,156
금산수원지 북측,제주시 건입동 1177,무료,263689,103185,제주시,건입동,6
통계청사무소 북측,제주시 이도이동 417-4,무료,264905,101391,제주시,이도이동,24
영락교회 앞,제주시 일도이동 488-1,무료,264940,102578,제주시,일도이동,124
이도2지구,제주시 이도이동 2040-2,무료,263907,99991,제주시,이도이동,28
이도2지구,제주시 이도이동 2035-10,무료,263853,100159,제주시,이도이동,30
이도2지구,제주시 이도이동 2030-4,무료,263976,100107,제주시,이도이동,27
이도2지구,제주시 이도이동 2026-9,무료,264053,99956,제주시,이도이동,27
이도2지구,제주시 이도이동 1998-9,무료,264078,100323,제주시,이도이동,41
이도2지구,제주시 이도이동 1999-1,무료,264192,100342,제주시,이도이동,39
이도2지구,제주시 이도이동 2003-7,무료,264159,100153,제주시,이도이동,29
이도2지구,제주시 이도이동 2008-1,무료,264322,100212,제주시,이도이동,38
이도2지구,제주시 이도이동 2021-12,무료,264322,100212,제주시,이도이동,33
이도2지구,제주시 이도이동 2017-1,무료,264381,100119,제주시,이도이동,39
이도2지구,제주시 이도이동 1992-7,무료,264324,100479,제주시,이도이동,36
이도2지구,제주시 이도이동 1994-1,무료,264404,100599,제주시,이도이동,26
이도2지구,제주시 이도이동 1977-7,무료,264601,100421,제주시,이도이동,27
이도2지구,"	제주시 이도이동 1982-17",무료,264548,100195,제주시,이도이동,20
